date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:49:38	114/114	---MC-	200	added ('OK')	text/plain	date:Thu,%2004%20May%202017%2011:49:41%20GMT	https://agmstudio.io/robots.txt		(from )
07:49:39	121073/121073	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:49:43%20GMT	https://agmstudio.io/themes/material-style/1.2.1/	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/index.html	(from )
07:49:41	397/397	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Jan%202017%2022:06:31%20GMT	https://agmstudio.io/themes/material-style/1.2.1/assets/img/favicon.png?v=3	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/assets/img/favicon30f4.png	(from )
07:49:44	989/989	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Jan%202017%2022:05:19%20GMT	https://agmstudio.io/themes/material-style/1.2.1/assets/css/preload.min.css	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/assets/css/preload.min.css	(from )
07:49:53	305942/305942	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Jan%202017%2022:05:19%20GMT	https://agmstudio.io/themes/material-style/1.2.1/assets/css/plugins.min.css	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/assets/css/plugins.min.css	(from )
07:49:58	327750/327750	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Jan%202017%2022:05:38%20GMT	https://agmstudio.io/themes/material-style/1.2.1/assets/css/style.light-blue-500.min.css	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/assets/css/style.light-blue-500.min.css	(from )
07:50:18	110/-1	---M--	408	error ('Request%20Time-out')	text/html		https://agmstudio.io/themes/material-style/1.2.1/assets/css/width-boxed.min.css	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/assets/css/width-boxed.min.4.delayed	(from )
07:50:20	121073/121073	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:50:23%20GMT	https://agmstudio.io/themes/material-style/1.2.1/index.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/index-2.html	(from )
07:51:30	100162/100162	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:51:32%20GMT	https://agmstudio.io/themes/material-style/1.2.1/home-generic-3.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/home-generic-3.html	(from )
07:51:37	96742/96742	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:51:41%20GMT	https://agmstudio.io/themes/material-style/1.2.1/home-generic-4.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/home-generic-4.html	(from )
07:51:42	95837/95837	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:51:45%20GMT	https://agmstudio.io/themes/material-style/1.2.1/home-generic-5.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/home-generic-5.html	(from )
07:51:51	115094/115094	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:51:54%20GMT	https://agmstudio.io/themes/material-style/1.2.1/home-generic-6.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/home-generic-6.html	(from )
07:52:11	99371/99371	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:52:12%20GMT	https://agmstudio.io/themes/material-style/1.2.1/home-generic-7.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/home-generic-7.html	(from )
07:52:19	54880/54880	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:52:22%20GMT	https://agmstudio.io/themes/material-style/1.2.1/home-landing.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/home-landing.html	(from )
07:53:00	54865/54865	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:53:03%20GMT	https://agmstudio.io/themes/material-style/1.2.1/home-landing4.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/home-landing4.html	(from )
07:53:09	55057/55057	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2011:53:12%20GMT	https://agmstudio.io/themes/material-style/1.2.1/home-landing3.html	D:/Plantilla-Material%20Style-Boostrap/material_style/agmstudio.io/themes/material-style/1.2.1/home-landing3.html	(from )
